epoch,train_loss,train_acc,val_loss,val_acc
1,3.581113,0.119792,4.144169,0.125000
2,3.046019,0.205208,3.267584,0.237500
3,2.678844,0.286458,3.761836,0.116667
4,2.532489,0.311458,2.714098,0.304167
5,2.339460,0.350000,3.266868,0.220833
6,2.132976,0.388542,2.389662,0.345833
7,1.950876,0.456250,2.950204,0.279167
8,1.890257,0.471875,2.969864,0.300000
9,1.835768,0.472917,2.019951,0.437500
10,1.574894,0.556250,2.377927,0.416667
11,1.536306,0.553125,2.627757,0.408333
12,1.448038,0.561458,2.831692,0.379167
